Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant 1,Significant 2
3,Reduced access to hearing care,Sex,Female,,Due to pandemic,0.9,0.2,,1,0
3,Reduced access to hearing care,Education,High school graduate or less,1266,Total,,,,,
3,Reduced access to hearing care,Education,High school graduate or less,,For any reason,3.2,0.7,,0,0
3,Reduced access to hearing care,Education,High school graduate or less,,Due to pandemic,0.5,0.2,,1,1
3,Reduced access to hearing care,Education,Some college,2553,Total,,,,,
3,Reduced access to hearing care,Education,Some college,,For any reason,3.3,0.6,,0,0
3,Reduced access to hearing care,Education,Some college,,Due to pandemic,1.1,0.3,,1,1
3,Reduced access to hearing care,Education,Bachelor's degree or above,1577,Total,,,,,
3,Reduced access to hearing care,Education,Bachelor's degree or above,,For any reason,2.2,0.5,,0,0
3,Reduced access to hearing care,Education,Bachelor's degree or above,,Due to pandemic,0.7,0.2,,1,1
3,Reduced access to hearing care,Urbanization,Metropolitan,4566,Total,,,,,
3,Reduced access to hearing care,Urbanization,Metropolitan,,For any reason,3,0.4,,0,0
3,Reduced access to hearing care,Urbanization,Metropolitan,,Due to pandemic,0.8,0.2,,1,1
3,Reduced access to hearing care,Urbanization,Non-Metropolitan,830,Total,,,,,
3,Reduced access to hearing care,Urbanization,Non-Metropolitan,,For any reason,2.4,0.7,,0,
3,Reduced access to hearing care,Urbanization,Non-Metropolitan,,Due to pandemic,0.3,0.3,,1,0
3,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,3374,Total,,,,,
3,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,,For any reason,3.3,0.4,,0,0
3,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,,Due to pandemic,0.9,0.2,,1,1
3,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,731,Total,,,,,
3,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,,For any reason,5.4,1.3,,0,0
3,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,1.3,0.6,,1,
3,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,2076,Total,,,,,
3,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,,For any reason,3.6,0.6,,0,0
3,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,1,0.3,,1,1
3,Reduced access to hearing care,Chronic conditions,Current asthma,560,Total,,,,,
3,Reduced access to hearing care,Chronic conditions,Current asthma,,For any reason,,,*,,
3,Reduced access to hearing care,Chronic conditions,Current asthma,,Due to pandemic,1.7,0.7,,0,0
1,Reduced access to one or more types of care,Total,Total,6799,Total,,,,,
1,Reduced access to one or more types of care,Total,Total,,For any reason,48.4,1,,,
1,Reduced access to one or more types of care,Total,Total,,Due to pandemic,38.7,1.1,,,
1,Reduced access to one or more types of care,Age group,18-44 years,2608,Total,,,,,
1,Reduced access to one or more types of care,Age group,18-44 years,,For any reason,46.3,1.5,,,
1,Reduced access to one or more types of care,Age group,18-44 years,,Due to pandemic,36.5,1.4,,,
1,Reduced access to one or more types of care,Age group,45-64 years,2386,Total,,,,,
1,Reduced access to one or more types of care,Age group,45-64 years,,For any reason,51.5,1.4,,,
1,Reduced access to one or more types of care,Age group,45-64 years,,Due to pandemic,41.8,1.5,,,
1,Reduced access to one or more types of care,Age group,65 years and over,1805,Total,,,,,
1,Reduced access to one or more types of care,Age group,65 years and over,,For any reason,48.1,1.6,,,
1,Reduced access to one or more types of care,Age group,65 years and over,,Due to pandemic,38.7,1.8,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,White non-Hispanic,4514,Total,,,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,White non-Hispanic,,For any reason,49.3,1.3,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,41.4,1.3,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,Black non-Hispanic,813,Total,,,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,Black non-Hispanic,,For any reason,47.7,2.5,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,29.9,2.4,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,Other non-Hispanic,529,Total,,,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,Other non-Hispanic,,For any reason,44,3.4,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,35.2,3.3,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,Hispanic,943,Total,,,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,Hispanic,,For any reason,47.6,2.6,,,
1,Reduced access to one or more types of care,Race/Hispanic origin,Hispanic,,Due to pandemic,36.5,2.7,,,
1,Reduced access to one or more types of care,Sex,Male,2969,Total,,,,,
1,Reduced access to one or more types of care,Sex,Male,,For any reason,44.9,1.7,,,
1,Reduced access to one or more types of care,Sex,Male,,Due to pandemic,34.9,1.7,,,
1,Reduced access to one or more types of care,Sex,Female,3830,Total,,,,,
1,Reduced access to one or more types of care,Sex,Female,,For any reason,51.7,1.2,,,
1,Reduced access to one or more types of care,Sex,Female,,Due to pandemic,42.3,1.2,,,
1,Reduced access to one or more types of care,Education,High school graduate or less,1296,Total,,,,,
1,Reduced access to one or more types of care,Education,High school graduate or less,,For any reason,43.7,1.7,,,
1,Reduced access to one or more types of care,Education,High school graduate or less,,Due to pandemic,32.4,1.7,,,
1,Reduced access to one or more types of care,Education,Some college,2556,Total,,,,,
1,Reduced access to one or more types of care,Education,Some college,,For any reason,49,1.1,,,
1,Reduced access to one or more types of care,Education,Some college,,Due to pandemic,38.1,1.1,,,
1,Reduced access to one or more types of care,Education,Bachelor's degree or above,2947,Total,,,,,
1,Reduced access to one or more types of care,Education,Bachelor's degree or above,,For any reason,52.9,1.4,,,
1,Reduced access to one or more types of care,Education,Bachelor's degree or above,,Due to pandemic,46,1.5,,,
1,Reduced access to one or more types of care,Urbanization,Metropolitan,6062,Total,,,,,
1,Reduced access to one or more types of care,Urbanization,Metropolitan,,For any reason,48.3,0.9,,,
1,Reduced access to one or more types of care,Urbanization,Metropolitan,,Due to pandemic,38.7,1,,,
1,Reduced access to one or more types of care,Urbanization,Non-Metropolitan,737,Total,,,,,
1,Reduced access to one or more types of care,Urbanization,Non-Metropolitan,,For any reason,48.8,4.5,,,
1,Reduced access to one or more types of care,Urbanization,Non-Metropolitan,,Due to pandemic,38.5,4.7,,,
1,Reduced access to one or more types of care,Chronic conditions,One or more chronic conditions,4090,Total,,,,,
1,Reduced access to one or more types of care,Chronic conditions,One or more chronic conditions,,For any reason,53.3,1.2,,,
1,Reduced access to one or more types of care,Chronic conditions,One or more chronic conditions,,Due to pandemic,42.8,1.2,,,
1,Reduced access to one or more types of care,Chronic conditions,Diagnosed diabetes,769,Total,,,,,
1,Reduced access to one or more types of care,Chronic conditions,Diagnosed diabetes,,For any reason,56.8,3,,,
1,Reduced access to one or more types of care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,43.4,2.8,,,
1,Reduced access to one or more types of care,Chronic conditions,Diagnosed hypertension,2428,Total,,,,,
1,Reduced access to one or more types of care,Chronic conditions,Diagnosed hypertension,,For any reason,54,1.7,,,
1,Reduced access to one or more types of care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,42.6,1.7,,,
1,Reduced access to one or more types of care,Chronic conditions,Current asthma,698,Total,,,,,
1,Reduced access to one or more types of care,Chronic conditions,Current asthma,,For any reason,59.3,3.4,,,
1,Reduced access to one or more types of care,Chronic conditions,Current asthma,,Due to pandemic,46.9,3.2,,,
2,Reduced access to one or more types of care,Total,Total,5981,Total,,,,,
2,Reduced access to one or more types of care,Total,Total,,For any reason,38.1,0.9,,1,
2,Reduced access to one or more types of care,Total,Total,,Due to pandemic,28.2,0.8,,1,
2,Reduced access to one or more types of care,Age group,18-44 years,2215,Total,,,,,
2,Reduced access to one or more types of care,Age group,18-44 years,,For any reason,39.8,1.7,,1,
2,Reduced access to one or more types of care,Age group,18-44 years,,Due to pandemic,28.1,1.2,,1,
2,Reduced access to one or more types of care,Age group,45-64 years,2084,Total,,,,,
2,Reduced access to one or more types of care,Age group,45-64 years,,For any reason,37.2,1.4,,1,
2,Reduced access to one or more types of care,Age group,45-64 years,,Due to pandemic,29.5,1.3,,1,
2,Reduced access to one or more types of care,Age group,65 years and over,1682,Total,,,,,
2,Reduced access to one or more types of care,Age group,65 years and over,,For any reason,35.8,1.7,,1,
2,Reduced access to one or more types of care,Age group,65 years and over,,Due to pandemic,26.1,1.6,,1,
2,Reduced access to one or more types of care,Race/Hispanic origin,White non-Hispanic,4078,Total,,,,,
2,Reduced access to one or more types of care,Race/Hispanic origin,White non-Hispanic,,For any reason,36.1,1.1,,1,
2,Reduced access to one or more types of care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,27.3,0.9,,1,
2,Reduced access to one or more types of care,Race/Hispanic origin,Black non-Hispanic,691,Total,,,,,
2,Reduced access to one or more types of care,Race/Hispanic origin,Black non-Hispanic,,For any reason,40.8,2.9,,1,
2,Reduced access to one or more types of care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,27.3,2.4,,0,
2,Reduced access to one or more types of care,Race/Hispanic origin,Other non-Hispanic,462,Total,,,,,
2,Reduced access to one or more types of care,Race/Hispanic origin,Other non-Hispanic,,For any reason,46.1,4,,0,
2,Reduced access to one or more types of care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,34.9,3.6,,0,
2,Reduced access to one or more types of care,Race/Hispanic origin,Hispanic,750,Total,,,,,
2,Reduced access to one or more types of care,Race/Hispanic origin,Hispanic,,For any reason,40.4,2.7,,1,
2,Reduced access to one or more types of care,Race/Hispanic origin,Hispanic,,Due to pandemic,29.1,2.3,,1,
2,Reduced access to one or more types of care,Sex,Male,2592,Total,,,,,
2,Reduced access to one or more types of care,Sex,Male,,For any reason,36.4,1.4,,1,
2,Reduced access to one or more types of care,Sex,Male,,Due to pandemic,26.2,1,,1,
2,Reduced access to one or more types of care,Sex,Female,3389,Total,,,,,
2,Reduced access to one or more types of care,Sex,Female,,For any reason,39.8,1.4,,1,
2,Reduced access to one or more types of care,Sex,Female,,Due to pandemic,30,1.1,,1,
2,Reduced access to one or more types of care,Education,High school graduate or less,1104,Total,,,,,
2,Reduced access to one or more types of care,Education,High school graduate or less,,For any reason,38,2.1,,1,
2,Reduced access to one or more types of care,Education,High school graduate or less,,Due to pandemic,23,1.6,,1,
2,Reduced access to one or more types of care,Education,Some college,2229,Total,,,,,
2,Reduced access to one or more types of care,Education,Some college,,For any reason,39.1,1.5,,1,
2,Reduced access to one or more types of care,Education,Some college,,Due to pandemic,30.8,1.4,,1,
2,Reduced access to one or more types of care,Education,Bachelor's degree or above,2648,Total,,,,,
2,Reduced access to one or more types of care,Education,Bachelor's degree or above,,For any reason,37.4,1.2,,1,
2,Reduced access to one or more types of care,Education,Bachelor's degree or above,,Due to pandemic,31.2,1.1,,1,
2,Reduced access to one or more types of care,Urbanization,Metropolitan,5322,Total,,,,,
2,Reduced access to one or more types of care,Urbanization,Metropolitan,,For any reason,38.5,1,,1,
2,Reduced access to one or more types of care,Urbanization,Metropolitan,,Due to pandemic,28.6,0.8,,1,
2,Reduced access to one or more types of care,Urbanization,Non-Metropolitan,659,Total,,,,,
2,Reduced access to one or more types of care,Urbanization,Non-Metropolitan,,For any reason,34.9,2,,1,
2,Reduced access to one or more types of care,Urbanization,Non-Metropolitan,,Due to pandemic,24.5,2,,1,
2,Reduced access to one or more types of care,Chronic conditions,One or more chronic conditions,3654,Total,,,,,
2,Reduced access to one or more types of care,Chronic conditions,One or more chronic conditions,,For any reason,41.8,1,,1,
2,Reduced access to one or more types of care,Chronic conditions,One or more chronic conditions,,Due to pandemic,31.7,0.9,,1,
2,Reduced access to one or more types of care,Chronic conditions,Diagnosed diabetes,691,Total,,,,,
2,Reduced access to one or more types of care,Chronic conditions,Diagnosed diabetes,,For any reason,46.1,2.4,,1,
2,Reduced access to one or more types of care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,34.6,2.1,,1,
2,Reduced access to one or more types of care,Chronic conditions,Diagnosed hypertension,2192,Total,,,,,
2,Reduced access to one or more types of care,Chronic conditions,Diagnosed hypertension,,For any reason,41.4,1.4,,1,
2,Reduced access to one or more types of care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,30.8,1.4,,1,
2,Reduced access to one or more types of care,Chronic conditions,Current asthma,619,Total,,,,,
2,Reduced access to one or more types of care,Chronic conditions,Current asthma,,For any reason,49.8,3.2,,1,
2,Reduced access to one or more types of care,Chronic conditions,Current asthma,,Due to pandemic,37.6,3.2,,1,
3,Reduced access to one or more types of care,Total,Total,5456,Total,,,,,
3,Reduced access to one or more types of care,Total,Total,,For any reason,26.9,0.8,,1,1
3,Reduced access to one or more types of care,Total,Total,,Due to pandemic,12.7,0.7,,1,1
3,Reduced access to one or more types of care,Age group,18-44 years,1974,Total,,,,,
1,Reduced access to urgent care,Urbanization,Metropolitan,,Due to pandemic,1.4,0.2,,,
3,Reduced access to one or more types of care,Age group,18-44 years,,For any reason,30.8,1.4,,1,1
3,Reduced access to one or more types of care,Age group,18-44 years,,Due to pandemic,15.6,1.1,,1,1
3,Reduced access to one or more types of care,Age group,45-64 years,1738,Total,,,,,
3,Reduced access to one or more types of care,Age group,45-64 years,,For any reason,24.9,1.4,,1,1
3,Reduced access to one or more types of care,Age group,45-64 years,,Due to pandemic,11.1,1,,1,1
3,Reduced access to one or more types of care,Age group,65 years and over,1744,Total,,,,,
3,Reduced access to one or more types of care,Age group,65 years and over,,For any reason,21.6,1.1,,1,1
3,Reduced access to one or more types of care,Age group,65 years and over,,Due to pandemic,9.2,1,,1,1
3,Reduced access to one or more types of care,Race/Hispanic origin,White non-Hispanic,3479,Total,,,,,
3,Reduced access to one or more types of care,Race/Hispanic origin,White non-Hispanic,,For any reason,23.4,1.2,,1,1
3,Reduced access to one or more types of care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,10.7,0.8,,1,1
3,Reduced access to one or more types of care,Race/Hispanic origin,Black non-Hispanic,763,Total,,,,,
3,Reduced access to one or more types of care,Race/Hispanic origin,Black non-Hispanic,,For any reason,37,2.4,,1,0
3,Reduced access to one or more types of care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,17,2.4,,1,1
3,Reduced access to one or more types of care,Race/Hispanic origin,Other non-Hispanic,393,Total,,,,,
3,Reduced access to one or more types of care,Race/Hispanic origin,Other non-Hispanic,,For any reason,27.3,3.1,,1,1
3,Reduced access to one or more types of care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,15,2.6,,1,1
3,Reduced access to one or more types of care,Race/Hispanic origin,Hispanic,821,Total,,,,,
3,Reduced access to one or more types of care,Race/Hispanic origin,Hispanic,,For any reason,32.9,2.2,,1,1
3,Reduced access to one or more types of care,Race/Hispanic origin,Hispanic,,Due to pandemic,16.1,1.7,,1,1
3,Reduced access to one or more types of care,Sex,Male,2463,Total,,,,,
3,Reduced access to one or more types of care,Sex,Male,,For any reason,23.9,1.2,,1,1
3,Reduced access to one or more types of care,Sex,Male,,Due to pandemic,11.2,0.8,,1,1
3,Reduced access to one or more types of care,Sex,Female,2993,Total,,,,,
3,Reduced access to one or more types of care,Sex,Female,,For any reason,29.7,1.3,,1,1
3,Reduced access to one or more types of care,Sex,Female,,Due to pandemic,14.2,1.1,,1,1
3,Reduced access to one or more types of care,Education,High school graduate or less,1280,Total,,,,,
3,Reduced access to one or more types of care,Education,High school graduate or less,,For any reason,28,1.7,,1,1
